Restart? - 0
Model:	2dxyz
Jx:	0.225
Jy:	0.425
Jz:	0.25
Field:	0.05
Theta:	0
Dissipation:	1
N_sites (col x row):	9    (3 x 3 )
Reference:	
000
000
000

000
000
000

---------------------------


Number of iteration:	40000
Target walker number:	25000
Initial energy shift:	-4
Time step:	0.001
Random seed:	12345
Population control damping:	0.1
Importance sampling:	0.606531
Initiator:	10
Starting time:	Mon Jan 15 16:00:27 2018

---------------------------
Time 	 State number 	 Real Mx 	 Imag Mx 	 Real My 	 Imag My 	 Real Mz 	 Imag Mz 	 Div real 	 Div imag 	 Diag_det_nb 	 Det_nbr
154	52	0.366383	-0.183191	2.74787	0	-281.444	0	283	0	5	52
155	52	0.366383	-0.183191	2.74787	0	-282.444	0	284	0	5	52
156	52	0.366383	-0.183191	2.74787	0	-282.444	0	284	0	5	52
157	52	0.366383	-0.183191	2.74787	0	-283.444	0	285	0	5	52
158	52	0.366383	-0.183191	2.74787	0	-283.444	0	285	0	5	52
159	52	0.366383	-0.183191	2.74787	0	-286.444	0	288	0	5	52
160	53	0.366383	-0.183191	2.74787	0	-289.444	0	291	0	5	53
161	53	0.366383	-0.183191	2.74787	0	-293.444	0	295	0	5	53
162	53	0.366383	-0.183191	2.74787	0	-294.444	0	296	0	5	53
163	53	0.366383	-0.183191	2.74787	0	-296.444	0	298	0	5	53
164	54	0.366383	-0.183191	2.74787	0	-298.444	0	300	0	5	54
165	54	0.366383	-5.55112e-17	2.93106	0	-300.444	0	302	0	5	54
166	54	0.366383	-1.11022e-16	2.93106	0	-302.444	0	304	0	5	54
167	55	0.366383	-5.55112e-17	2.93106	0	-304	0	306	0	6	55
168	55	0.366383	-1.11022e-16	2.93106	0	-305	0	307	0	6	55
169	55	0.183191	-1.11022e-16	2.93106	0.183191	-305	0	307	0	6	55
170	55	0.183191	-5.55112e-17	2.93106	0.183191	-308	0	310	0	6	55
171	55	0.183191	-0.183191	3.11425	0.183191	-309	0	311	0	6	55
172	55	0.183191	-0.183191	3.11425	0.183191	-310	0	312	0	6	55
173	55	0.183191	0	3.29744	0.183191	-313	0	315	0	6	55
174	55	0.183191	0	3.29744	0.183191	-314	0	316	0	6	55
175	55	0.183191	0	3.29744	0.183191	-315	0	317	0	6	55
176	55	0.183191	0	3.29744	0.183191	-319	0	321	0	6	55
177	55	0.183191	0	3.29744	0.183191	-319	0	321	0	6	55
178	55	0.183191	0	3.29744	0.183191	-321	0	323	0	6	55
179	55	0.183191	0	3.29744	0.183191	-321	0	323	0	6	55
180	56	0.183191	0	3.29744	0.183191	-321	0	323	0	6	56
181	56	0.183191	0	3.29744	0.183191	-323	0	325	0	6	56
182	56	0.183191	0	3.29744	0.183191	-324	0	326	0	6	56
183	56	0.183191	0	3.29744	0.183191	-325	0	327	0	6	56
184	56	0.183191	0	3.29744	0.183191	-328	0	330	0	6	56
185	56	0.183191	0	3.29744	0.183191	-330.556	0	333	0	6	56
186	56	0.183191	0	3.29744	0.183191	-331.556	0	334	0	6	56
187	57	0.183191	0	3.29744	0.183191	-331.556	0.555556	334	-1	7	57
188	57	0.366383	0	3.29744	0.366383	-332.556	0.555556	335	-1	7	57
189	57	0.366383	0	3.29744	0.366383	-332.556	0.555556	335	-1	7	57
190	57	0.366383	0	3.29744	0.366383	-333.556	0.555556	336	-1	7	57
191	58	0.366383	0	3.29744	0.366383	-333.556	0.555556	336	-1	7	58
